agent_type,timestamp,position_number,total_positions,position_length,position_consistency,convergence_indicator,file_path
progressive,20250713_143008,1,67,386,1.0,False,orka_trace_20250713_143008.json
progressive,20250713_143008,2,67,0,0.0,False,orka_trace_20250713_143008.json
progressive,20250713_143008,3,67,0,0.0,False,orka_trace_20250713_143008.json
progressive,20250713_143008,4,67,0,0.0,False,orka_trace_20250713_143008.json
progressive,20250713_143008,5,67,0,0.0,False,orka_trace_20250713_143008.json
progressive,20250713_143008,6,67,0,0.0,False,orka_trace_20250713_143008.json
progressive,20250713_143008,7,67,0,0.0,False,orka_trace_20250713_143008.json
progressive,20250713_143345,8,67,338,0.0,False,orka_trace_20250713_143345.json
progressive,20250713_143345,9,67,0,0.0,False,orka_trace_20250713_143345.json
progressive,20250713_143345,10,67,331,0.0,False,orka_trace_20250713_143345.json
progressive,20250713_143345,11,67,0,0.0,False,orka_trace_20250713_143345.json
progressive,20250713_143345,12,67,0,0.0,False,orka_trace_20250713_143345.json
progressive,20250713_143345,13,67,0,0.0,False,orka_trace_20250713_143345.json
progressive,20250713_143345,14,67,0,0.0,False,orka_trace_20250713_143345.json
progressive,20250713_143718,15,67,0,0.0,False,orka_trace_20250713_143718.json
progressive,20250713_143718,16,67,193,0.0,False,orka_trace_20250713_143718.json
progressive,20250713_143718,17,67,191,0.3888888888888889,False,orka_trace_20250713_143718.json
progressive,20250713_143718,18,67,0,0.0,False,orka_trace_20250713_143718.json
progressive,20250713_143718,19,67,0,0.0,False,orka_trace_20250713_143718.json
progressive,20250713_143718,20,67,0,0.0,False,orka_trace_20250713_143718.json
progressive,20250713_143718,21,67,0,0.0,False,orka_trace_20250713_143718.json
progressive,20250713_144045,22,67,0,0.0,False,orka_trace_20250713_144045.json
progressive,20250713_144045,23,67,0,0.0,False,orka_trace_20250713_144045.json
progressive,20250713_144045,24,67,0,0.0,False,orka_trace_20250713_144045.json
progressive,20250713_144045,25,67,0,0.0,False,orka_trace_20250713_144045.json
progressive,20250713_144045,26,67,0,0.0,False,orka_trace_20250713_144045.json
progressive,20250713_144045,27,67,0,0.0,False,orka_trace_20250713_144045.json
progressive,20250713_144045,28,67,0,0.0,False,orka_trace_20250713_144045.json
progressive,20250713_144407,29,67,320,0.0,False,orka_trace_20250713_144407.json
progressive,20250713_144407,30,67,348,0.25757575757575757,False,orka_trace_20250713_144407.json
progressive,20250713_144407,31,67,0,0.0,False,orka_trace_20250713_144407.json
progressive,20250713_144407,32,67,0,0.0,False,orka_trace_20250713_144407.json
progressive,20250713_144407,33,67,0,0.0,False,orka_trace_20250713_144407.json
progressive,20250713_144407,34,67,0,0.0,False,orka_trace_20250713_144407.json
progressive,20250713_144407,35,67,0,0.0,False,orka_trace_20250713_144407.json
progressive,20250713_144729,36,67,532,0.0,False,orka_trace_20250713_144729.json
progressive,20250713_144729,37,67,872,0.21311475409836064,False,orka_trace_20250713_144729.json
progressive,20250713_144729,38,67,0,0.0,False,orka_trace_20250713_144729.json
progressive,20250713_144729,39,67,0,0.0,False,orka_trace_20250713_144729.json
progressive,20250713_144729,40,67,0,0.0,False,orka_trace_20250713_144729.json
progressive,20250713_144729,41,67,0,0.0,False,orka_trace_20250713_144729.json
progressive,20250713_144729,42,67,0,0.0,False,orka_trace_20250713_144729.json
progressive,20250713_145104,43,67,0,0.0,False,orka_trace_20250713_145104.json
progressive,20250713_145104,44,67,0,0.0,False,orka_trace_20250713_145104.json
progressive,20250713_145104,45,67,223,0.0,False,orka_trace_20250713_145104.json
progressive,20250713_145104,46,67,0,0.0,False,orka_trace_20250713_145104.json
progressive,20250713_145433,47,67,947,0.0,False,orka_trace_20250713_145433.json
progressive,20250713_145433,48,67,338,0.136,False,orka_trace_20250713_145433.json
progressive,20250713_145433,49,67,231,0.2413793103448276,False,orka_trace_20250713_145433.json
progressive,20250713_145433,50,67,0,0.0,False,orka_trace_20250713_145433.json
progressive,20250713_145433,51,67,0,0.0,False,orka_trace_20250713_145433.json
progressive,20250713_145433,52,67,0,0.0,False,orka_trace_20250713_145433.json
progressive,20250713_145433,53,67,0,0.0,False,orka_trace_20250713_145433.json
